voltage,time,height
7.5,763.45,0.1212
7.5,764.45,0.1212
7.5,765.45,0.1212
7.5,766.46,0.1212
7.5,767.46,0.1212
7.5,768.46,0.1212
7.5,769.47,0.1212
7.5,770.48,0.1212
7.5,771.49,0.1212
7.5,772.49,0.1212
7.5,773.51,0.1256
7.5,774.52,0.1256
7.5,775.55,0.1256
7.5,776.56,0.1256
7.5,777.57,0.1212
7.5,778.57,0.1212
7.5,780.59,0.1212
7.5,781.59,0.1212
7.5,782.59,0.1212
7.5,783.6,0.1212
7.5,784.6,0.1212
7.5,785.6,0.1212
7.5,786.6,0.1212
7.5,787.6,0.1212
7.5,788.61,0.1222
7.5,789.61,0.1222
7.5,790.63,0.1222
7.5,791.63,0.1222
7.5,792.66,0.1222
7.5,793.67,0.1221
7.5,794.7,0.1265
7.5,795.71,0.1265
7.5,796.73,0.1265
7.5,797.74,0.1222
7.5,798.75,0.1222
7.5,800.76,0.1222
7.5,801.78,0.1222
7.5,802.8,0.1222
7.5,803.82,0.1222
7.5,804.83,0.1221
7.5,805.85,0.1221
7.5,806.87,0.1222
7.5,807.89,0.1222
7.5,808.9,0.1222
7.5,809.91,0.1222
7.5,810.93,0.1222
7.5,811.94,0.1229
7.5,812.96,0.1231
7.5,813.97,0.1231
7.5,815,0.1231
7.5,816.01,0.1231
7.5,817.03,0.1231
7.5,818.05,0.1229
7.5,819.05,0.1229
7.5,821.07,0.1229
7.5,822.08,0.1231
7.5,823.1,0.1229
7.5,824.12,0.1229
7.5,825.13,0.1231
7.5,826.15,0.1229
7.5,827.17,0.1229
7.5,828.19,0.1231
7.5,829.2,0.1229
7.5,830.22,0.1231
7.5,831.23,0.1229
7.5,832.25,0.1231
7.5,833.26,0.1239
7.5,834.28,0.1239
7.5,835.3,0.1239
7.5,836.31,0.1239
7.5,837.33,0.1239
7.5,838.35,0.1239
7.5,839.37,0.1239
7.5,841.39,0.1239
7.5,842.39,0.1239
7.5,843.41,0.1239
7.5,844.44,0.1239
7.5,845.46,0.1239
7.5,846.46,0.1239
7.5,847.46,0.1239
7.5,848.47,0.1239
7.5,849.48,0.1239
7.5,850.48,0.1239
7.5,851.48,0.1239
7.5,852.48,0.1239
7.5,853.48,0.1239
7.5,854.49,0.1248
7.5,855.49,0.1248
7.5,856.49,0.1248
7.5,857.49,0.1248
7.5,858.49,0.1248
7.5,859.49,0.1248
7.5,861.49,0.1248
7.5,862.5,0.1248
7.5,863.51,0.1248
7.5,864.52,0.1248
7.5,865.52,0.1248
7.5,866.53,0.1248
7.5,867.55,0.1248
7.5,868.59,0.1248
7.5,869.59,0.1248
7.5,870.6,0.1248
7.5,871.61,0.1248
7.5,872.61,0.1248
7.5,873.61,0.1248
7.5,874.61,0.1248
7.5,875.62,0.1248
7.5,876.62,0.1256
7.5,877.62,0.1256
7.5,878.62,0.1256
7.5,880.62,0.1256
7.5,881.63,0.1256
7.5,882.64,0.1299
7.5,883.65,0.1299
7.5,884.66,0.1299
7.5,885.67,0.1299
7.5,886.68,0.1299
7.5,887.7,0.1299
7.5,888.72,0.1299
7.5,889.73,0.1299
7.5,890.75,0.1299
7.5,891.77,0.1299
7.5,892.8,0.1299
7.5,893.81,0.1299
7.5,894.83,0.1299
7.5,895.85,0.1256
7.5,896.86,0.1256
7.5,897.88,0.1256
7.5,899.9,0.1256
7.5,900.91,0.1265
7.5,901.93,0.1265
7.5,902.95,0.1265
7.5,903.97,0.1265
7.5,904.98,0.1265
7.5,906.01,0.1265
7.5,907.02,0.1265
7.5,908.04,0.1265
7.5,909.05,0.1265
7.5,910.06,0.1265
7.5,911.08,0.1265
7.5,912.1,0.1265
7.5,913.11,0.1265
7.5,914.13,0.1307
7.5,915.14,0.1307
7.5,916.16,0.1307
7.5,917.16,0.1307
7.5,918.18,0.1307
7.5,920.2,0.1307
7.5,921.21,0.1265
7.5,922.23,0.1265
7.5,923.24,0.1265
7.5,924.26,0.1265
7.5,925.27,0.1265
7.5,926.29,0.1265
7.5,927.31,0.1265
7.5,928.33,0.1265
7.5,929.34,0.1265
7.5,930.36,0.1265
7.5,931.38,0.1265
7.5,932.39,0.1265
7.5,933.41,0.1265
7.5,934.43,0.1265
7.5,935.47,0.1265
7.5,936.48,0.1229
7.5,937.48,0.1229
7.5,938.5,0.1316
7.5,940.5,0.1316
7.5,941.51,0.1316
7.5,942.53,0.1316
7.5,943.53,0.1316
7.5,944.54,0.1316
7.5,945.55,0.1316
7.5,946.57,0.1316
7.5,947.58,0.1316
7.5,948.62,0.1316
7.5,949.63,0.1316
7.5,950.63,0.1316
